YearMonthKey,ItemCode,ItemDescription,ItemCategory,ItemSize,TotalInventory,Price,StockValue,SnapshotDate
202509,411892,ESSAY CHEN BLC/VIOG/ROUSSA - 750ML,SOUTH AFRICAN,750ML,144,13.99,2014.56,2025-09-18
202509,89777,TIP TOP ESPRESSO MARTINI COCKT RTD 6/4PK - 100ML (4-Pack),LIQ BASED RTD,4pk,0,23.99,0.0,2025-09-18
202509,318506,RON ABUELO ANEJO 12YR - 750ML,IMPORTED RUM,750ML,0,48.99,0.0,2025-09-18
202509,54472,HORSE SOLDIER BARREL STRENGTH BOURBON - 750ML (1 Bottle),STRAIGHT BOURBON WHISKEY,750ML,0,89.99,0.0,2025-09-18
202509,17329,CANTINA SANTADI GROTTO ROSSO - 750ML,ITALIAN RED WINE,750ML,0,18.99,0.0,2025-09-18
202509,377443,MAGGIO PINOT NOIR - 750ML (1 Bottle),AMERICAN RED,750ML,0,12.99,0.0,2025-09-18
202509,13188,YELLOW TAIL SHZ/CAB 750ML,AMERICAN RED,750ML,0,8.99,0.0,2025-09-18
202509,22780,GREY GOOSE VODKA - L'ORANGE - 1L,IMPORTED VODKA FLAVORS,1L,0,44.99,0.0,2025-09-18
202509,68671,DENIZENS SOUTHSIDE WEST COAST IPA 4/6 CANS - 12.0Z (6-Pack),DOMESTIC CAN BEER,6pk,7680,12.99,99763.2,2025-09-18
202509,246428,STATESIDE VODKA SODA & ORANGE 6/4PK RTD 12OZ CAN - 12.0Z (4-Pack),SESSION RTD,4pk,3768,8.99,33874.32,2025-09-18
202509,35360,POPOV VODKA - 1.75L,DOMESTIC VODKA,1.75L,1146,12.99,14886.54,2025-09-18
202509,240639,PENELOPE BOURBON BARREL STRENGTH - 750ML (1 Bottle),STRAIGHT BOURBON WHISKEY,750ML,114,54.99,6268.860000000001,2025-09-18
202509,167832,SONO BLAZE ESPRESSO MARTINI 8/3PK 50ML (3-Pack),DOMESTIC CORDIALS,3pk,0,43.17,0.0,2025-09-18
202509,68034,HERRADURA LEGEND ANEJO - 750ML,TEQUILA,750ML,0,109.99,0.0,2025-09-18
202509,54444,JOHNNIE WALKER BLACK - ICE MOLD & GLASS -750ML,IMPORTED SCOTCH,750ML,0,39.99,0.0,2025-09-18
202509,82156,BAREFOOT CEL SWEET RED - 1.5L (1 Bottle),AMERICAN RED,1.5L,180,14.99,2698.2,2025-09-18
202509,84038,K JACKSON AVANT CHARD - 750ML (1 Bottle),AMERICAN WHITE,750ML,288,16.99,4893.12,2025-09-18
202509,54232,BEER FARM SUMMER PEACH CIDER 4/6 CAN - 12.0Z (6-Pack),DOMESTIC CAN BEER,6pk,0,13.99,0.0,2025-09-18
202509,247874,ZOU LIMOUX DEMI SEC SPARK - 750ML,SPARKLING,750ML,0,24.99,0.0,2025-09-18
202509,365700,LAUVERJAT SANCERRE MOULIN DES - 375ML,LOIRE VALLEY WINE,375ML,0,29.99,0.0,2025-09-18
202509,80152,TAYLOR PORT - 3L,PORT,3L,152,25.99,3950.4799999999996,2025-09-18
202509,306812,3 GIRLS LODI CAB - 750ML (1 Bottle),AMERICAN RED,750ML,0,14.99,0.0,2025-09-18
202509,170796,GRAND MAYAN SILVER TEQUILA 750ML,TEQUILA,750ML,0,91.99,0.0,2025-09-18
202509,30635,SEAGRAM'S GIN - EXTRA DRY - 1.75L,DOMESTIC GIN,1.75L,150,28.99,4348.5,2025-09-18
202509,88459,LIQS MANGO 1.5L - RTD,WINE-BASED COOLERS,1.5L,0,14.99,0.0,2025-09-18
202509,46464,PICCINI CHN CL - 750ML,ITALIAN RED WINE,750ML,0,19.99,0.0,2025-09-18
202509,45964,CIROC LUXURY VODKA - 50ML,IMPORTED VODKA,50ML,0,4.29,0.0,2025-09-18
202509,379263,HARVEYS SOLERA SHERRY MEDIUM DRY - 750ML,SPANISH/PORTUGUESE,750ML,228,21.99,5013.719999999999,2025-09-18
202509,40438,GLENLIVET 12YR - 50ML,IMPORTED SCOTCH,50ML,0,4.89,0.0,2025-09-18
202509,68136,MELILLO DRY MARSALA 12/C - 500ML,IMPORTED DESSERT WINE,500ML,240,8.99,2157.6,2025-09-18
202509,88526,BLACK BOX TART & TANGY S/BLC - 3L,AMERICAN WHITE,3L,258,21.99,5673.419999999999,2025-09-18
202509,15246,LONE OAK PEACH HARD SELTZER  6/4 16OZ CANS - 16.0Z (4-Pack),DOMESTIC CAN BEER,4pk,0,13.99,0.0,2025-09-18
