MonthDate,YearMonthKey,ISR_SA,Giro_voltas_ano,DoS_dias,Giro_x_DoS
2024-08-01,202408,1.33,9.022556390977444,39.900000000000006,360.00000000000006
2024-09-01,202409,1.33,9.022556390977444,39.900000000000006,360.00000000000006
2024-10-01,202410,1.32,9.09090909090909,39.6,360.0
2024-11-01,202411,1.31,9.16030534351145,39.300000000000004,360.0
2024-12-01,202412,1.29,9.30232558139535,38.7,360.00000000000006
2025-01-01,202501,1.31,9.16030534351145,39.300000000000004,360.0
2025-02-01,202502,1.31,9.16030534351145,39.300000000000004,360.0
2025-03-01,202503,1.29,9.30232558139535,38.7,360.00000000000006
2025-04-01,202504,1.29,9.30232558139535,38.7,360.00000000000006
2025-05-01,202505,1.3,9.23076923076923,39.0,359.99999999999994
2025-06-01,202506,1.29,9.30232558139535,38.7,360.00000000000006
2025-07-01,202507,1.29,9.30232558139535,38.7,360.00000000000006
