YearMonthKey,ItemCode,ItemType,RetailSales,RetailTransfers,Outflow,TransferRate,Faixa
202003,100024,WINE,1.07,0.0,1.07,0.0,0-20% (Vendas diretas)
202003,10197,LIQUOR,26.6,25.0,51.6,48.44961240310077,40-100% (Alta transferência)
202003,101591,WINE,0.0,1.0,1.0,100.0,40-100% (Alta transferência)
