"Date","Item","Item description","Quantity","Unit Of Measure"
"11/22/2019","95800","MODELO ESPECIAL-2/12 CAN - 12OZ","36","BTL"
"11/22/2019","23837","ICEHOUSE CANS - 24OZ","8","BTL"
"11/22/2019","51153","BUD LIGHT PLATINUM 1/15PK 25OZ CAN","15","BTL"
"11/22/2019","88402","KEYSTONE ICE 2/15PK 12.Z CAN","30","BTL"
"11/22/2019","48973","BUD HOLIDAY STEIN 30PK CAN","121","BTL"
"11/22/2019","238442","REQUIEM CAB SAUV - 750ML","1","BTL"
"11/22/2019","23307","MICHELOB ULTRA 24/12 PREPRINT LSE-NR","1","BTL"
"11/22/2019","62998","EVOLUTION DAY CRUSH SOUR 4/6 CANS","6","BTL"
"11/22/2019","61034","DOGFISH HEAD 90 MINUTE IMPERIAL IPA 4/6 NR","6","BTL"
"11/22/2019","26259","STEEL RESERVE BLACKBERRY CANS 12/CS - 24OZ","12","BTL"
"11/22/2019","335273","CANARD DUCHENE BRUT AUTH - 750ML","6","BTL"
"11/22/2019","96750","CORONA EXTRA 2/12 NR - 12OZ","48","BTL"
"11/22/2019","93505","SAM ADAMS WINTERLAGER 4/6 LN - 12OZ","6","BTL"
"11/22/2019","90468","BUD LIGHT 30PK CAN","30","BTL"
"11/22/2019","428515","TOMASELLO CHERRY WINE - 500ML","1","BTL"
"11/22/2019","47503","MENAGE A TROIS RED - 750ML","1","BTL"
"11/22/2019","68596","CHATEAU LA TUILERIE DU PUY BORDEAUX 750ML","12","BTL"
"11/22/2019","26639","DC BRAU CORRUPTION IPA 4/6 CANS - 12OZ","6","BTL"
"11/22/2019","26187","STELLA ARTOIS LOOSE NR - 11.2OZ","24","BTL"
"11/22/2019","99708","SIERRA NEVADA PALE ALE 2/12 NR - 12OZ","24","BTL"
"11/22/2019","23837","ICEHOUSE CANS - 24OZ","8","BTL"
"11/22/2019","25824","ANDERSON WINTER SOLSTICE 4/6 CAN - 12OZ","6","BTL"
"11/22/2019","50716","MILWAUKEE BEST 2/15PK CAN - 12OZ","15","BTL"
"11/22/2019","93505","SAM ADAMS WINTERLAGER 4/6 LN - 12OZ","6","BTL"
"11/22/2019","48945","SHOCK TOP BELGIAN WHITE 2/15PK CAN","15","BTL"
"11/22/2019","90905","HEINEKEN 12/24.0Z CAN - 24OZ","1","BTL"
"11/22/2019","25824","ANDERSON WINTER SOLSTICE 4/6 CAN - 12OZ","6","BTL"
"11/22/2019","23307","MICHELOB ULTRA 24/12 PREPRINT LSE-NR","1","BTL"
"11/22/2019","91669","MILLER LITE 2/12 CAN - 12OZ","12","BTL"
"11/22/2019","96776","NEWCASTLE BROWN ALE 4/6 NR - 12OZ","24","BTL"
"11/22/2019","95800","MODELO ESPECIAL-2/12 CAN - 12OZ","36","BTL"
"11/22/2019","68942","MICHELOB ULTRA 18PK NR - 12OZ","18","BTL"
"11/22/2019","84923","CYT FRONTERA CAB - 1.5L","1","BTL"
"11/22/2019","90611","ICEHOUSE 30PK CAN - 12OZ","30","BTL"
"11/22/2019","26087","HOFBRAU DUNKEL 4/6NR - 11.2OZ","24","BTL"
"11/22/2019","98744","STELLA ARTOIS 4/6 NR - 11.2OZ","48","BTL"
"11/22/2019","50633","SMIRNOFF ICE SMASH STRAW LEMON 23.5 OZ CAN","1","BTL"
"11/22/2019","69060","CORONITA LOOSE NR 24/CS - 7OZ","2","BTL"
"11/22/2019","231919","LEGENDARY EST SERIES S/BLC - 750ML","12","BTL"
"11/22/2019","97659","KINGFISHER 4/6 NR","24","BTL"
"11/22/2019","94072","COORS 4/6 LNNR - 12OZ","24","BTL"
"11/22/2019","23968","MILLER LITE BIG 18 PK CANS - 16OZ","18","BTL"
"11/22/2019","26087","HOFBRAU DUNKEL 4/6NR - 11.2OZ","24","BTL"
"11/22/2019","26187","STELLA ARTOIS LOOSE NR - 11.2OZ","24","BTL"
"11/22/2019","26145","BUD 18PK 16OZ CAN - 16OZ","39","BTL"
"11/22/2019","26639","DC BRAU CORRUPTION IPA 4/6 CANS - 12OZ","6","BTL"
"11/22/2019","90468","BUD LIGHT 30PK CAN","30","BTL"
"11/22/2019","61034","DOGFISH HEAD 90 MINUTE IMPERIAL IPA 4/6 NR","6","BTL"
"11/22/2019","51153","BUD LIGHT PLATINUM 1/15PK 25OZ CAN","15","BTL"
"11/22/2019","96920","PERONI 4/6 NR - 12OZ","6","BTL"
"11/22/2019","90590","MILLER LITE 30PK CAN - 12OZ","30","BTL"
"11/22/2019","26272","BUD LIGHT 15/25OZ CANS","15","BTL"
"11/22/2019","23886","HEINEKEN LOOSE NR - 12OZ","24","BTL"
"11/22/2019","84923","CYT FRONTERA CAB - 1.5L","1","BTL"
"11/22/2019","69060","CORONITA LOOSE NR 24/CS - 7OZ","2","BTL"
"11/22/2019","47503","MENAGE A TROIS RED - 750ML","1","BTL"
"11/22/2019","48945","SHOCK TOP BELGIAN WHITE 2/15PK CAN","15","BTL"
"11/22/2019","23070","CORONA EXTRA 2/12 CAN - 12OZ","12","BTL"
"11/22/2019","68942","MICHELOB ULTRA 18PK NR - 12OZ","18","BTL"
"11/22/2019","351608","AUSTIN HOPE CAB - 750ML","5","BTL"
"11/22/2019","335273","CANARD DUCHENE BRUT AUTH - 750ML","6","BTL"
"11/22/2019","90611","ICEHOUSE 30PK CAN - 12OZ","30","BTL"
"11/22/2019","52108","YELLOW TAIL CAB - 1.5L","6","BTL"
"11/22/2019","3450","MILLER LITE 2/12 LNNR - 12OZ","24","BTL"
"11/22/2019","80738","BAREFOOT CEL S/BLC - 750ML","12","BTL"
"11/22/2019","91030","BUD 18PK CAN - 12OZ","18","BTL"
"11/22/2019","69086","BLUE MOON BLGM WHTE ALE 2/12NR - 12OZ","24","BTL"
"11/22/2019","91693","PABST 2/12 CAN - 12OZ","12","BTL"
"11/22/2019","93602","MILLER HIGH LIFE 2/12 LNNR - 12OZ","24","BTL"
"11/22/2019","88402","KEYSTONE ICE 2/15PK 12.Z CAN","30","BTL"
"11/22/2019","91090","COORS LT 18PK CAN - 12OZ","54","BTL"
"11/22/2019","25603","FLYING DOG THE TRUTH 4/6NR - 12OZ","6","BTL"
"11/22/2019","50716","MILWAUKEE BEST 2/15PK CAN - 12OZ","15","BTL"
"11/22/2019","63394","BELLS TWO HEARTED ALE 2/12 CANS","12","BTL"
"11/22/2019","99708","SIERRA NEVADA PALE ALE 2/12 NR - 12OZ","24","BTL"
"11/22/2019","428515","TOMASELLO CHERRY WINE - 500ML","1","BTL"
"11/22/2019","90204","MICHELOB ULTRA 2/12 LNNR - 12OZ","12","BTL"
"11/22/2019","231919","LEGENDARY EST SERIES S/BLC - 750ML","12","BTL"
"11/22/2019","12976","ATLAS DANCE OF DAYS 4/6 CAN","6","BTL"
"11/22/2019","26259","STEEL RESERVE BLACKBERRY CANS 12/CS - 24OZ","12","BTL"
"11/22/2019","72753","CYT FRONTERA CAB/MER - 1.5L","6","BTL"
"11/22/2019","28404","FLYING DOG BLOODLINE 4/6NR - 12OZ","24","BTL"
"11/22/2019","93572","MILLER HIGH LIFE 4/6 LNNR - 12OZ","24","BTL"
"11/22/2019","26964","YELLOW TAIL CHARD - 1.5L","2","BTL"
"11/22/2019","62998","EVOLUTION DAY CRUSH SOUR 4/6 CANS","6","BTL"
"11/22/2019","64252","COLLECTIVE ARTS LIFE IN THE CLOUDS 6/4 16OZ CANS","4","BTL"
"11/22/2019","99740","MOLSON GOLDEN 2/12 LNNR - 12OZ","12","BTL"
"11/22/2019","90905","HEINEKEN 12/24.0Z CAN - 24OZ","1","BTL"
"11/22/2019","50769","CORONA FAMILIAR 2/12PK 12OZ NR","24","BTL"
"11/22/2019","238442","REQUIEM CAB SAUV - 750ML","1","BTL"
"11/22/2019","96628","TSINGTAO 4/6 NR - 12OZ","24","BTL"
"11/22/2019","96750","CORONA EXTRA 2/12 NR - 12OZ","48","BTL"
"11/22/2019","91693","PABST 2/12 CAN - 12OZ","12","BTL"
"11/22/2019","5096","BUD 30PK CAN - 12OZ","60","BTL"
"11/22/2019","93572","MILLER HIGH LIFE 4/6 LNNR - 12OZ","24","BTL"
"11/22/2019","93904","ROLLING ROCK 4/6 LN - 12OZ","6","BTL"
"11/22/2019","68596","CHATEAU LA TUILERIE DU PUY BORDEAUX 750ML","12","BTL"
"11/22/2019","80083","NOBLE VINES 446 CHARD - 750ML","1","BTL"
"11/22/2019","96776","NEWCASTLE BROWN ALE 4/6 NR - 12OZ","24","BTL"
"11/22/2019","93904","ROLLING ROCK 4/6 LN - 12OZ","6","BTL"
"11/22/2019","52108","YELLOW TAIL CAB - 1.5L","6","BTL"
"11/22/2019","5096","BUD 30PK CAN - 12OZ","60","BTL"
"11/22/2019","94072","COORS 4/6 LNNR - 12OZ","24","BTL"
"11/22/2019","23968","MILLER LITE BIG 18 PK CANS - 16OZ","18","BTL"
"11/22/2019","99740","MOLSON GOLDEN 2/12 LNNR - 12OZ","12","BTL"
"11/22/2019","12976","ATLAS DANCE OF DAYS 4/6 CAN","6","BTL"
"11/22/2019","50633","SMIRNOFF ICE SMASH STRAW LEMON 23.5 OZ CAN","1","BTL"
"11/22/2019","97292","S SMITH IMPERIAL STOUT 6/4 NR","24","BTL"
"11/22/2019","96628","TSINGTAO 4/6 NR - 12OZ","24","BTL"
"11/22/2019","97292","S SMITH IMPERIAL STOUT 6/4 NR","24","BTL"
"11/22/2019","48973","BUD HOLIDAY STEIN 30PK CAN","121","BTL"
"11/22/2019","90590","MILLER LITE 30PK CAN - 12OZ","30","BTL"
"11/22/2019","51200","DOGFISH HEAD AMERICAN BEAUTY HAZY RIPPLE IPA 4/6 CAN","6","BTL"
"11/22/2019","64252","COLLECTIVE ARTS LIFE IN THE CLOUDS 6/4 16OZ CANS","4","BTL"
"11/22/2019","97659","KINGFISHER 4/6 NR","24","BTL"
"11/22/2019","98744","STELLA ARTOIS 4/6 NR - 11.2OZ","48","BTL"
"11/22/2019","91030","BUD 18PK CAN - 12OZ","18","BTL"
"11/22/2019","26964","YELLOW TAIL CHARD - 1.5L","2","BTL"
"11/22/2019","28404","FLYING DOG BLOODLINE 4/6NR - 12OZ","24","BTL"
"11/22/2019","69086","BLUE MOON BLGM WHTE ALE 2/12NR - 12OZ","24","BTL"
"11/22/2019","72753","CYT FRONTERA CAB/MER - 1.5L","6","BTL"
"11/22/2019","93602","MILLER HIGH LIFE 2/12 LNNR - 12OZ","24","BTL"
"11/22/2019","80738","BAREFOOT CEL S/BLC - 750ML","12","BTL"
"11/22/2019","25603","FLYING DOG THE TRUTH 4/6NR - 12OZ","6","BTL"
"11/22/2019","351608","AUSTIN HOPE CAB - 750ML","5","BTL"
"11/22/2019","50769","CORONA FAMILIAR 2/12PK 12OZ NR","24","BTL"
"11/22/2019","63394","BELLS TWO HEARTED ALE 2/12 CANS","12","BTL"
"11/22/2019","23886","HEINEKEN LOOSE NR - 12OZ","24","BTL"
"11/22/2019","90204","MICHELOB ULTRA 2/12 LNNR - 12OZ","12","BTL"
"11/22/2019","26272","BUD LIGHT 15/25OZ CANS","15","BTL"
"11/22/2019","91669","MILLER LITE 2/12 CAN - 12OZ","12","BTL"
"11/22/2019","91090","COORS LT 18PK CAN - 12OZ","54","BTL"
"11/22/2019","51200","DOGFISH HEAD AMERICAN BEAUTY HAZY RIPPLE IPA 4/6 CAN","6","BTL"
"11/22/2019","96920","PERONI 4/6 NR - 12OZ","6","BTL"
"11/22/2019","3450","MILLER LITE 2/12 LNNR - 12OZ","24","BTL"
"11/22/2019","26145","BUD 18PK 16OZ CAN - 16OZ","39","BTL"
"11/22/2019","23070","CORONA EXTRA 2/12 CAN - 12OZ","12","BTL"
"11/22/2019","80083","NOBLE VINES 446 CHARD - 750ML","1","BTL"
"11/22/2019","98744","STELLA ARTOIS 4/6 NR - 11.2OZ","24","BTL"
"11/22/2019","28582","RITAS LEMON-ADE-RITA 15/25 CAN","15","BTL"
"11/22/2019","99198","MODELO ESPECIAL 2/12 NR - 12OZ","12","BTL"
"11/22/2019","28493","BUD LIGHT 3/8PK 16OZ CALNR - 16OZ","24","BTL"
"11/22/2019","50716","MILWAUKEE BEST 2/15PK CAN - 12OZ","15","BTL"
"11/22/2019","234208","SAINT GREGORY P/MEUNIER - 750ML","1","BTL"
"11/22/2019","96970","HEINEKEN 2/12 NR - 12OZ","12","BTL"
"11/22/2019","140031","FOUR SISTERS SHZ - 750ML","1","BTL"
"11/22/2019","91138","COORS LT 2/12 CAN - 12OZ","12","BTL"
"11/22/2019","12138","AVA GRACE CHARD - 750ML","1","BTL"
"11/22/2019","69841","BUD 40OZ NR - 40OZ","12","BTL"
"11/22/2019","91693","PABST 2/12 CAN - 12OZ","12","BTL"
"11/22/2019","70978","JACK DANIELS TENNESSEE HONEY - 750ML","1","BTL"
"11/22/2019","23777","MODELO ESPECIAL SUITCASE CANS - 12OZ","24","BTL"
"11/22/2019","90590","MILLER LITE 30PK CAN - 12OZ","180","BTL"
"11/22/2019","20826","WOODBRIDGE P/GRIG - 750ML","1","BTL"
"11/22/2019","97918","STELLA ARTOIS 2/12 NR - 11.2OZ","36","BTL"
"11/22/2019","90590","MILLER LITE 30PK CAN - 12OZ","180","BTL"
"11/22/2019","69841","BUD 40OZ NR - 40OZ","12","BTL"
"11/22/2019","91138","COORS LT 2/12 CAN - 12OZ","12","BTL"
"11/22/2019","300012","CH D'ESCLANS WHISPERING ANGEL - 750ML","1","BTL"
"11/22/2019","26644","DC BRAU PENN QUARTER PORT 4/6 CANS - 12OZ","6","BTL"
"11/22/2019","23314","CORONA EXTRA 18PK NR - 12OZ","36","BTL"
"11/22/2019","406325","FRONT PORCH MER - 1.5L","1","BTL"
"11/22/2019","69418","LEFFE BLONDE 4/6NR - 11.2OZ","24","BTL"
"11/22/2019","79668","ESPOLON BLANCO TEQ - 750ML","1","BTL"
"11/22/2019","25523","BUD LIGHT PLATINUM 2/12 NR - 12OZ","24","BTL"
"11/22/2019","25523","BUD LIGHT PLATINUM 2/12 NR - 12OZ","24","BTL"
"11/22/2019","36771","WHITE CLAW MANGO 6/4 16OZ CAN","1","BTL"
"11/22/2019","50260","ANCHOR CHRISTMAS ALE 4/6 12OZ NR","24","BTL"
"11/22/2019","3085","YUENGLING LAGER 2/12 NR - 12OZ","24","BTL"
"11/22/2019","92851","SAM ADAMS WINTER CLASSICS 12PK NR","24","BTL"
"11/22/2019","70978","JACK DANIELS TENNESSEE HONEY - 750ML","1","BTL"
"11/22/2019","95770","HEINEKEN 6/4 16OZ CAN - 16OZ","25","BTL"
"11/22/2019","91049","BUD LIGHT 18PK 12OZ CAN","18","BTL"
"11/22/2019","28474","RITAS MANGO-O-RITA 15/25OZ CAN","1","BTL"
"11/22/2019","26260","RITAS-LIME-A-RITA 15/25OZ CAN","1","BTL"
"11/22/2019","30823","NATTY DADDY 15/25OZ CAN","3","BTL"
"11/22/2019","91952","MILLER LITE 18PK CAN - 12OZ","18","BTL"
"11/22/2019","12138","AVA GRACE CHARD - 750ML","1","BTL"
"11/22/2019","23777","MODELO ESPECIAL SUITCASE CANS - 12OZ","24","BTL"
"11/22/2019","96970","HEINEKEN 2/12 NR - 12OZ","12","BTL"
"11/22/2019","28582","RITAS LEMON-ADE-RITA 15/25 CAN","15","BTL"
"11/22/2019","25385","NATIONAL BOHEMIAN 30 PK CAN","30","BTL"
"11/22/2019","98744","STELLA ARTOIS 4/6 NR - 11.2OZ","24","BTL"
"11/22/2019","96083","HEINEKEN 4/6 NR - 12OZ","24","BTL"
"11/22/2019","69043","MICHELOB ULTRA 30PK CAN - 12OZ","60","BTL"
"11/22/2019","28474","RITAS MANGO-O-RITA 15/25OZ CAN","1","BTL"
"11/22/2019","35262","SMIRNOFF VODKA 100P - 750ML","1","BTL"
"11/22/2019","31109","DOGFISH HEAD 60 MIN IPA 2/12 CAN","12","BTL"
"11/22/2019","92851","SAM ADAMS WINTER CLASSICS 12PK NR","24","BTL"
"11/22/2019","99198","MODELO ESPECIAL 2/12 NR - 12OZ","12","BTL"
"11/22/2019","23314","CORONA EXTRA 18PK NR - 12OZ","36","BTL"
"11/22/2019","339921","AWATERE S/BLC - 750ML","11","BTL"
"11/22/2019","25385","NATIONAL BOHEMIAN 30 PK CAN","30","BTL"
"11/22/2019","26644","DC BRAU PENN QUARTER PORT 4/6 CANS - 12OZ","6","BTL"
"11/22/2019","311836","LUJURIA MALB - 750ML","6","BTL"
"11/22/2019","50714","MILWAUKEE BEST ICE 2/15PK CAN 12OZ","15","BTL"
"11/22/2019","90468","BUD LIGHT 30PK CAN","60","BTL"
"11/22/2019","300012","CH D'ESCLANS WHISPERING ANGEL - 750ML","1","BTL"
"11/22/2019","30823","NATTY DADDY 15/25OZ CAN","3","BTL"
"11/22/2019","311836","LUJURIA MALB - 750ML","6","BTL"
"11/22/2019","326779","BREAD & BUTTER P/NOIR - 750ML","3","BTL"
"11/22/2019","91952","MILLER LITE 18PK CAN - 12OZ","18","BTL"
"11/22/2019","97918","STELLA ARTOIS 2/12 NR - 11.2OZ","36","BTL"
"11/22/2019","26095","ANGRY ORCHARD CRISP APPLE 2/12 NR - 12OZ","24","BTL"
"11/22/2019","25391","NB TRIPPEL BELGIAN STYLE ALE 4/6NR - 12OZ","6","BTL"
"11/22/2019","91090","COORS LT 18PK CAN - 12OZ","54","BTL"
"11/22/2019","28411","MODELO CHELADA CANS 12/CS - 24OZ","2","BTL"
"11/22/2019","79668","ESPOLON BLANCO TEQ - 750ML","1","BTL"
"11/22/2019","97667","BECKS 2/12 NR - 12OZ","24","BTL"
"11/22/2019","50714","MILWAUKEE BEST ICE 2/15PK CAN 12OZ","15","BTL"
"11/22/2019","50666","CORONA PREMIER 2/12PK 12 OZ NR","36","BTL"
"11/22/2019","95745","DOGFISH HEAD 60 MIN IPA 4/6 NR - 12OZ","30","BTL"
"11/22/2019","97420","BITBURGER 4/6 11.2 OZ NR","24","BTL"
"11/22/2019","96750","CORONA EXTRA 2/12 NR - 12OZ","48","BTL"
"11/22/2019","94773","PACIFICO CLARA 2/12 NR - 12OZ","12","BTL"
"11/22/2019","20826","WOODBRIDGE P/GRIG - 750ML","1","BTL"
"11/22/2019","97667","BECKS 2/12 NR - 12OZ","24","BTL"
"11/22/2019","31109","DOGFISH HEAD 60 MIN IPA 2/12 CAN","12","BTL"
"11/22/2019","234208","SAINT GREGORY P/MEUNIER - 750ML","1","BTL"
"11/22/2019","26095","ANGRY ORCHARD CRISP APPLE 2/12 NR - 12OZ","24","BTL"
"11/22/2019","140031","FOUR SISTERS SHZ - 750ML","1","BTL"
"11/22/2019","28522","VICTORIA 2/12NR - 12OZ","36","BTL"
"11/22/2019","326779","BREAD & BUTTER P/NOIR - 750ML","3","BTL"
"11/22/2019","96083","HEINEKEN 4/6 NR - 12OZ","24","BTL"
"11/22/2019","36771","WHITE CLAW MANGO 6/4 16OZ CAN","1","BTL"
"11/22/2019","26305","BUD 15/25OZ CANS - 25OZ","15","BTL"
"11/22/2019","94773","PACIFICO CLARA 2/12 NR - 12OZ","12","BTL"
"11/22/2019","3085","YUENGLING LAGER 2/12 NR - 12OZ","24","BTL"
"11/22/2019","96750","CORONA EXTRA 2/12 NR - 12OZ","48","BTL"
"11/22/2019","90832","COORS LT 18PK LNNR - 12OZ","18","BTL"
"11/22/2019","24835","ENGLSZELL GREGORIS NR 20/CS - 11OZ","1","BTL"
"11/22/2019","97420","BITBURGER 4/6 11.2 OZ NR","24","BTL"
"11/22/2019","28566","HEINEKEN 18PK CAN 12OZ","19","BTL"
"11/22/2019","91693","PABST 2/12 CAN - 12OZ","12","BTL"
"11/22/2019","91049","BUD LIGHT 18PK 12OZ CAN","18","BTL"
"11/22/2019","50260","ANCHOR CHRISTMAS ALE 4/6 12OZ NR","24","BTL"
"11/22/2019","339921","AWATERE S/BLC - 750ML","11","BTL"
"11/22/2019","28566","HEINEKEN 18PK CAN 12OZ","19","BTL"
"11/22/2019","90468","BUD LIGHT 30PK CAN","60","BTL"
"11/22/2019","50775","SIERRA NEVADA HOP BULLET DIPA 4/6PK 12OZ CAN","6","BTL"
"11/22/2019","69043","MICHELOB ULTRA 30PK CAN - 12OZ","60","BTL"
"11/22/2019","26260","RITAS-LIME-A-RITA 15/25OZ CAN","1","BTL"
"11/22/2019","50666","CORONA PREMIER 2/12PK 12 OZ NR","36","BTL"
"11/22/2019","26305","BUD 15/25OZ CANS - 25OZ","15","BTL"
"11/22/2019","28493","BUD LIGHT 3/8PK 16OZ CALNR - 16OZ","24","BTL"
"11/22/2019","3450","MILLER LITE 2/12 LNNR - 12OZ","36","BTL"
"11/22/2019","28411","MODELO CHELADA CANS 12/CS - 24OZ","2","BTL"
"11/22/2019","95745","DOGFISH HEAD 60 MIN IPA 4/6 NR - 12OZ","30","BTL"
"11/22/2019","406325","FRONT PORCH MER - 1.5L","1","BTL"
"11/22/2019","28522","VICTORIA 2/12NR - 12OZ","36","BTL"
"11/22/2019","95770","HEINEKEN 6/4 16OZ CAN - 16OZ","25","BTL"
"11/22/2019","90832","COORS LT 18PK LNNR - 12OZ","18","BTL"
"11/22/2019","25391","NB TRIPPEL BELGIAN STYLE ALE 4/6NR - 12OZ","6","BTL"
"11/22/2019","3450","MILLER LITE 2/12 LNNR - 12OZ","36","BTL"
"11/22/2019","50775","SIERRA NEVADA HOP BULLET DIPA 4/6PK 12OZ CAN","6","BTL"
"11/22/2019","50716","MILWAUKEE BEST 2/15PK CAN - 12OZ","15","BTL"
"11/22/2019","69418","LEFFE BLONDE 4/6NR - 11.2OZ","24","BTL"
"11/22/2019","24835","ENGLSZELL GREGORIS NR 20/CS - 11OZ","1","BTL"
"11/22/2019","35262","SMIRNOFF VODKA 100P - 750ML","1","BTL"
"11/22/2019","91090","COORS LT 18PK CAN - 12OZ","54","BTL"
"11/21/2019","69043","MICHELOB ULTRA 30PK CAN - 12OZ","30","BTL"
"11/21/2019","91960","MILLER LITE 12/24OZ CAN - 24OZ","12","BTL"
"11/21/2019","95800","MODELO ESPECIAL-2/12 CAN - 12OZ","12","BTL"
"11/21/2019","50781","NATTY DADDY 2/15PK 12OZ CAN","30","BTL"
"11/21/2019","27356","STRONGBOW GOLD CIDER 4/6NR - 11.2OZ","24","BTL"
"11/21/2019","94773","PACIFICO CLARA 2/12 NR - 12OZ","12","BTL"
"11/21/2019","68470","PRESIDENTIAL RUBY PORTO 6/C - 750ML","1","BTL"
"11/21/2019","97551","NEGRA MODELO 4/6 NR - 12OZ","36","BTL"
"11/21/2019","23445","CORONA EXTRA LOOSE NR - 12OZ","24","BTL"
"11/21/2019","83137","SUTTER  HOME RED BLEND - 750ML","1","BTL"
"11/21/2019","86070","WOODBRIDGE CAB - 1.5L","1","BTL"
"11/21/2019","91030","BUD 18PK CAN - 12OZ","54","BTL"
"11/21/2019","307901","HENDRICKS GIN - 1L","1","BTL"
"11/21/2019","97578","BUD 24/12 PREPRINT LSE NR","24","BTL"
"11/21/2019","90204","MICHELOB ULTRA 2/12 LNNR - 12OZ","48","BTL"
"11/21/2019","2828","SAM ADAMS BOSTON LAGER 2/12 NR - 12OZ","84","BTL"
"11/21/2019","99201","NEGRA MODELO 2/12 NR - 12OZ","12","BTL"
"11/21/2019","91138","COORS LT 2/12 CAN - 12OZ","24","BTL"
"11/21/2019","99198","MODELO ESPECIAL 2/12 NR - 12OZ","96","BTL"
"11/21/2019","23433","SMIRNOFF PARTY PACK 2/12 NR - 11.2OZ","12","BTL"
"11/21/2019","88307","CARLO ROSSI PAISANO - 1.5L","1","BTL"
"11/21/2019","28945","BALLAST POINT GRAPEFRUIT SCULPIN 4/6 12.OZ NR","6","BTL"
"11/21/2019","1406","DOGFISH HEAD 120 MIN IPA 6/4 NR - 12OZ","1","BTL"
"11/21/2019","25398","FLYING DOG PEARL NCKLCE CHESPKE ST NR","6","BTL"
"11/21/2019","84678","APOTHIC CAL RED BLEND - 750ML","1","BTL"
"11/21/2019","33243","MD 20/20 BLUE RASPBERRY - 750ML","3","BTL"
"11/21/2019","80307","VIN VAULT CAB - 3L - BIB","6","BTL"
"11/21/2019","23166","PERONI 2/12 NR - 12OZ","24","BTL"
"11/21/2019","91952","MILLER LITE 18PK CAN - 12OZ","54","BTL"
"11/21/2019","7838","FLYING DOG VARIETY PACK 2/12 NR - 12OZ","84","BTL"
"11/21/2019","61980","PINNACLE VODKA - 750ML","1","BTL"
"11/21/2019","62227","GREY GOOSE VODKA - 50ML","24","BTL"
"11/21/2019","96741","CORONA EXTRA 4/6 NR - 12OZ","96","BTL"
"11/21/2019","28522","VICTORIA 2/12NR - 12OZ","12","BTL"
"11/21/2019","92223","STEEL RESERVE 12/24OZ CAN - 24OZ","14","BTL"
"11/21/2019","90921","MILLER LITE 18PK LNNR - 12OZ","18","BTL"
"11/21/2019","20109","JAMESON IRISH WHISKEY - 1.75L","1","BTL"
"11/21/2019","28579","NOT YOUR FATHER'S ROOT BEER 4/6 NR","24","BTL"
"11/21/2019","24180","BRUGAL RUM - ANEJO - 1.75L","2","BTL"
"11/21/2019","349530","BREAD AND BUTTER CABERNET - 750ML","12","BTL"
"11/21/2019","97454","GUINNESS STOUT NR - 22OZ","12","BTL"
"11/21/2019","26849","KENTUCKY BOURBON ALE 6/4NR - 12OZ","24","BTL"
"11/21/2019","38598","BACARDI RUM - WHITE - 1.75L","3","BTL"
"11/21/2019","78450","NOBILO ICON S/BLC - 750ML","1","BTL"
"11/21/2019","61962","ITHACA FLOWER POWER 6/4 16OZ CANS","6","BTL"
"11/21/2019","310410","MOLINOS DE DULCINEA RED BIB - 5L","8","BTL"
"11/21/2019","51168","GOOSE ISLAND CHRISTMAS IPA 4/6PK 12OZ CAN","6","BTL"
"11/21/2019","91278","BUD LIGHT 2/12 CAN","24","BTL"
"11/21/2019","9997","HOEGAARDEN 4/6NR - 12OZ","24","BTL"
"11/21/2019","28411","MODELO CHELADA CANS 12/CS - 24OZ","1","BTL"
"11/21/2019","96415","BUCKLER NA 4/6 NR - 12OZ","6","BTL"
"11/21/2019","91170","COORS LT 30PK CAN - 12OZ","30","BTL"
"11/21/2019","89494","LIVINGSTON CELLARS CHARD - 1.5L","1","BTL"
"11/21/2019","51029","FLYING DOG THUNDERPEEL HAZY IPA 4/6PK 12OZ CAN","4","BTL"
"11/21/2019","3093","YUENGLING LIGHT 2/12 NR - 12OZ","24","BTL"
"11/21/2019","91049","BUD LIGHT 18PK 12OZ CAN","72","BTL"
"11/21/2019","3425","HEINEKEN 18PK NR - 12OZ","36","BTL"
"11/21/2019","84913","FRANZIA CHIANTI BIB - 5L","4","BTL"
"11/21/2019","90751","ALLAGASH WHITE 6/4 NR - 12OZ","24","BTL"
"11/21/2019","23445","CORONA EXTRA LOOSE NR - 12OZ","24","BTL"
"11/21/2019","62227","GREY GOOSE VODKA - 50ML","24","BTL"
"11/21/2019","341255","CARSON SCOTT CAB - 750ML","1","BTL"
"11/21/2019","96741","CORONA EXTRA 4/6 NR - 12OZ","96","BTL"
"11/21/2019","29010","FIRESTONE UNION JACK IPA 4/6 12.OZ CAN","24","BTL"
"11/21/2019","26155","BUD LIGHT 18PK 16OZ CAN","19","BTL"
"11/21/2019","11762","JIM BEAM WHITE - 1.75L","1","BTL"
"11/21/2019","96083","HEINEKEN 4/6 NR - 12OZ","24","BTL"
"11/21/2019","93289","VICTORY HOP DEVIL IPA 4/6NR - 12OZ","24","BTL"
"11/21/2019","92851","SAM ADAMS WINTER CLASSICS 12PK NR","24","BTL"
"11/21/2019","23772","FLYING DOG RAGING BITCH BELGIAN IPA -NR","30","BTL"
"11/21/2019","92223","STEEL RESERVE 12/24OZ CAN - 24OZ","14","BTL"
"11/21/2019","90921","MILLER LITE 18PK LNNR - 12OZ","18","BTL"
