"Code","Category","Description","Size","Total Inventory","Price","Sale Price","Sale End Date"
"24953","AMERICAN RED","GROTH CABERNET 750ML","750ML","0","$82.99",,
"171911","STRAIGHT BOURBON WHISKEY","STONESTREET FOUNDERS EDITION BOURBON 750ML","750ML","0","$66.99",,
"246354","AMERICAN WHITE","DECOY FEATHERWEIGHT CHARDONNAY 750ML","750ML","0","$19.99",,
"171080","ITALIAN WHITE WINE","VILLARINI GRILLO 750ML","750ML","0","$17.99",,
"171381","TEQUILA","SIEMBRA ALTENO TEQUILA BLANCO 750ML","750ML","0","$87.99",,
"300588","AUSTRALIAN","JACOBS CREEK MOSCATO - 750ML","750ML","0","$9.99",,
"337217","AMERICAN RED","BELLE GLOSS LAS ALTURAS P/NOIR - 750ML","750ML","0","$54.99",,
"169796","DOMESTIC VODKA FLAVORS","WHIPSHOTS LIME INFUSED WHIPPED CREAM VODKA 200ML","200ML","0","$13.99",,
"88812","NON-ALCOHOLIC MIXERS","STIRRINGS SIMPLE SYRUP - 12.0Z","12.0Z","270","$4.99",,
"91436","TEQUILA","MILAGRO ANEJO TEQUILA 375ML","375ML","0","$21.99",,
"247987","SPARKLING","CASTELLO DEL POGGIO PROSECCO - 750ML","750ML","0","$12.99",,
"242102","AMERICAN WHITE","FREEMARK ABBEY CHARD - 750ML","750ML","258","$36.99",,
"171217","DOMESTIC CORDIALS","MCCLINTOCK SPICED PEAR LIQUEUR - 750ML","750ML","0","$23.99",,
"574535","AMERICAN RED","JUSTIN RESERVE CAB SAUV - 750ML","750ML","0","$62.99",,
"310029","SPARKLING","ZONIN PROSECCO - 750ML","750ML","0","$14.99",,
"234798","AMERICAN RED","LA JOTA VYD HOWELL MTN CAB/FR - 750ML","750ML","0","$193.99",,
"171700","SESSION RTD","SEACRETS PEACH VODKA & SODA RTD 6/4PK 12OZ CAN - 12.0Z (4-Pack)","4pk","0","$17.99",,
"346339","IMPORTED RUM","PLANTERAY PINEAPPLE RUM 750ML","750ML","0","$42.99",,
"171592","SESSION RTD","MINUTE MAID SPIKED VODKA PUNCH VAR PK 3/8PK 355ML (8-Pack)","8pk","0","$18.99",,
"89027","LIQ BASED RTD","BUZZBALLZ COCKTAILS BIGGIES BERRY CHERRY LIMEADE - 1.75L","1.75L","0","$19.99",,
"91440","TEQUILA","MILAGRO SILVER TEQUILA 375ML","375ML","0","$14.99",,
"307368","ITALIAN RED WINE","TIAMO PROSECCO ORGANIC - 750ML","750ML","24","$18.99",,
"312776","ITALIAN WHITE WINE","ZONIN P/GRIG - 750ML","750ML","0","$8.99",,
"54121","IRISH WHISKEY","McCONNELL'S IRISH WHISKEY- SHERRY CASK - 750ML","750ML","0","$38.99",,
"13844","DOMESTIC RUM FLAVORS","LYON RUM TRIO 375ML","375ML","0","$54.99",,
"43605","RHONE RED WINE","GRAND VENEUR CDR ROUGE - 750ML","750ML","72","$18.99",,
"42597","STORE SUPPLIES","WHISTLEPIG MAPLE SYRUP - 375ML","375ML","0","$19.99",,
"171748","LIQ BASED RTD","COPPER CAN VARIETY PACK #2 3/8PK 12OZ CAN - 12.0Z (8-Pack)","8pk","0","$27.99",,
"351682","IMPORTED CORDIALS","NONINO AMARO QUINTESSENTIA - 750ML","750ML","0","$56.99",,
"54274","STRAIGHT RYE WHISKEY","FALLEN OAK RYE - 750ML","750ML","0","$42.99",,
"247768","WHITE BURGUNDY WINE","JOSEPH DROUHIN VAUDON CHABLIS - 750ML","750ML","0","$39.99",,
"380476","BLENDED WHISKEY","FUYU JAPANESE WHISKY 6 PK - 750ML","750ML","0","$49.99",,
"241696","AMERICAN RED","THE PRISONER CAB - 750ML","750ML","288","$52.99",,
"54250","BLENDED WHISKEY","DRAGON DISTILLERY FIGZILLA - 750ML","750ML","0","$29.99",,
"72663","DOMESTIC VODKA FLAVORS","NEW AMSTERDAM VODKA - PASSION FRUIT - 750ML","750ML","0","$11.99",,
"145837","FRANCE-OTHER","CH D'ESCLANS WHISPERING ANGEL 375ML","375ML","0","$15.99",,
"20120","DOMESTIC RUM","CLANDESTINO KIWI PITORRO 750ML","750ML","0","$45.99",,
"64297","MISCELLANEOUS IMPORTED WINE","TRAMBUSTI ORIGO SUPERTUSCAN 750ML","750ML","96","$14.99",,
"408948","SPARKLING","LA MARINA C' GASCOGNE CUV OCEANE - 750ML","750ML","204","$13.99",,
"232662","RHONE RED WINE","DOM BERTHET RAYNE CDR RGE 15 - 750ML","750ML","132","$17.99",,
"355552","AMERICAN WHITE","BREAD & BUTTER SAUVIGNON BLANC - 750ML (1 Bottle)","750ML","240","$16.99","$12.99","09/30/2025"
"54303","DOMESTIC CORDIALS","HOGNOSE LIMONCELLO - 750ML","750ML","0","$18.99",,
"380501","MISCELLANEOUS IMPORTED SPIRITS","RAMPUR ASAVA - 750ML","750ML","0","$94.99",,
"349291","MISCELLANEOUS IMPORTED WINE","HAKUSHIKA SNOW BEAUTY NIGORI - 300ML","300ML","96","$17.99",,
"326145","ITALIAN RED WINE","ARCENO STRADO AL SASSO - 750ML","750ML","0","$73.99",,
"378983","AMERICAN RED","ANAKOTA HELENA DAKOTA VYD K/V CAB 19 - 750ML","750ML","0","$254.99",,
"10113","DOMESTIC CAN BEER","TRUE RESPITE HAZY 2X/3X IPA SERIES 6/4 16OZ CANS - 16.0Z (4-Pack)","4pk","0","$19.99",,
"18358","AMERICAN RED","COPPOLA DIRECT CUT SONOMA COAST CHARD 750ML","750ML","0","$21.99",,
"29893","DOMESTIC BOTTLE BEER","EVOLUTION VARIETY 2/12 NR - 12.0Z (12-Pack)","12pk","0","$19.19",,
"90908","TEQUILA","GRAN CORAMINO REPOSADO TEQUILA 375ML","375ML","0","$22.99",,
"81777","AUSTRALIAN","YELLOW TAIL SUPER CRISP CHARD - 1.5L","1.5L","150","$13.99",,
"242214","STRAIGHT RYE WHISKEY","NOBLE OAK RYE WHISKEY - 750ML","750ML","0","$39.99",,
"42646","DOMESTIC CORDIALS","MCCLINTOCK COFFEE LIQUEUR - 750ML","750ML","0","$33.99",,
"70106","TEQUILA","DON FULANO TEQUILA REPOSADO - 750ML","750ML","114","$67.99",,
"380099","SESSION RTD","GREENALL'S GIN & SODA SICILIAN LEMON RTD 6/4 CANS - 12.0Z (4-Pack)","4pk","0","$13.99",,
"166849","AMERICAN BLUSH","SUTTER HOME FRUIT INFUSION BERRY 6/1.5L","1.5L","0","$14.99",,
"19169","DOMESTIC CAN BEER","SILVER BRANCH COSMIC SERIES 4/6 CANS - 12.0Z (6-Pack)","6pk","0","$14.99",,
"236226","DOMESTIC LIQUOR SPECIALTY","OLE SMOKY MOONSHINE HUNCH PUNCH - 50ML","50ML","0","$3.89",,
"91658","TEQUILA FLAVORS","1800 BLANCO TEQUILA 375ML","375ML","0","$19.99",,
"247443","RED BORDEAUX WINE","CH PHELAN SEGUR ST-ESTEPHE 19 RED - 750ML","750ML","0","$80.99",,
"240571","ITALIAN WHITE WINE","MONTEFRESCO PROSECCO NV - 750ML","750ML","0","$13.99",,
"68890","MALT BASED SELTZER","DC BRAU FULL TRANSPARENCY MANGO 4/6 CANS - 12.0Z (6-Pack)","6pk","0","$8.58",,
"247549","TEQUILA","PANTALONES BLANCO TEQ ORG - 750ML","750ML","0","$46.99",,
"310331","AMERICAN RED","LA JOTA HOWELL MTN MER - 750ML","750ML","0","$132.99",,
"81764","AMERICAN BLUSH","BAREFOOT CEL W/ZIN - 187ML","187ML","288","$1.99",,
"236348","AMERICAN RED","CAPRICCIO BUBBLY SANGRIA RED - 750ML","750ML","0","$10.99",,
"81016","AMERICAN BLUSH","BAREFOOT CEL ROSE - 750ML","750ML","228","$7.99",,
"89042","SINGLE MALT IRISH WHISKEY","GLENDALOUGH 7YR IRISH SINGLE MALT WHISKEY - 750ML","750ML","0","$87.99",,
"89731","AMERICAN RED","LOLLI SWEET RED - 750ML","750ML","0","$10.99",,
"313422","ARGENTINA","FAMILIA ZUCCARDI Q CHARD - 750ML (1 Bottle)","750ML","0","$23.99","$17.99","09/30/2025"
"380581","LIQ BASED RTD","BLOSSOM CINNAMON ESPRESSO MARTINI RTD 6/4 CANS - 12.0Z (4-Pack)","4pk","0","$17.99",,
"238109","STRAIGHT BOURBON WHISKEY","FOUR ROSES SMALL BATCH SELECT 104P BOURB- 750ML (1 Bottle)","750ML","48","$56.99","$49.99","09/30/2025"
"82100","AMERICAN RED","CUPCAKE CENTRAL COAST MERLOT - 750ML","750ML","228","$14.99",,
"86207","AMERICAN TABLE WINE","CARLO ROSSI RHINE - 4L","4L","36","$19.99",,
"86445","AMERICAN WHITE","FRANZIA P/GRIG COL - 5L","5L","0","$24.99",,
"40291","STRAIGHT RYE WHISKEY","MICHTERS USI S/B RYE WHISKEY - 750ML","750ML","78","$55.99",,
"58025","IMPORTED CORDIALS","BAILEYS IRISH CREAM W/GLASSES - 750ML","750ML","1050","$31.99",,
"238074","DOMESTIC LIQUOR SPECIALTY","BELLE ISLE PREM MOONSHINE BLOOD ORANGE - 750ML","750ML","0","$22.99",,
"241122","DOMESTIC VODKA FLAVORS","MCCLINTOCK ORO VODKA CUCUMBER/LIME INFUSED - 750ML","750ML","0","$27.99",,
"300615","IMPORTED VODKA FLAVORS","ABSOLUT LIME - 750ML","750ML","84","$24.99",,
"333560","AMERICAN RED","BANSHEE MORDECAI RED - 750ML","750ML","0","$24.99",,
"36250","IMPORTED VODKA FLAVORS","ABSOLUT VODKA - CITRON - 1.75L","1.75L","102","$44.99",,
"370028","FRENCH BLUSH","WOLFFER SUMMER IN A BOTTLE ROSE PROV - 750ML","750ML","132","$30.99",,
"91339","MISCELLANEOUS IMPORTED SPIRITS","EMPRESS 1908 INDIGO GIN 1.75L","1.75L","0","$81.99",,
"79740","VERMOUTH","CINZANO VERMOUTH ROSSO RED BLEND - 750ML","750ML","0","$11.99",,
"45085","AMERICAN RED","LINGANORE BLACKBERRY - 750ML","750ML","72","$13.99",,
"88429","AMERICAN WHITE","BAREFOOT CEL STRAWBERRY FRUITSCATO - 750ML","750ML","84","$7.99",,
"238580","ITALIAN WHITE WINE","SCACCIADIAVOLI MONTEFALCO GRECHETTO - 750ML","750ML","0","$15.99",,
"70808","STRAIGHT RYE WHISKEY","WHISTLEPIG OLD WORLD 12YR RYE - 750ML","750ML","0","$180.99",,
"88215","FRANCE-OTHER","DOM GALUVAL CDR VILL PLAN DE DIEU - 750ML (1 Bottle)","750ML","0","$22.99","$18.99","09/30/2025"
"232822","FRENCH BLUSH","MAISON FABRE C'PROV SERPOLET ROSE - 750ML","750ML","264","$19.99",,
"18486","DOMESTIC CAN BEER","BEER FARM BAY LIGHT LAGER 1/15PK CANS - 12.0Z","12.0Z","0","$22.99",,
"153125","AMERICAN RED","BULLY HILL SWEET WALTER RED - 750ML","750ML","168","$12.99",,
"72429","SESSION RTD","DEEP EDDY LEMON VODKA & SODA - RTD - 12.0Z (4-Pack)","4pk","312","$15.99",,
"54190","DOMESTIC LIQUOR SPECIALTY","MASH & MALLOW S'MORES WHISKEY - 750ML","750ML","0","$30.99",,
"32000","IMPORTED GIN","BEEFEATER GIN - 1L","1L","252","$30.99",,
"246306","STRAIGHT RYE WHISKEY","REDEMPTION SUR LEE 750ML","750ML","0","$48.99",,
"307882","ASIAN","HAKUTSURU SUPERIOR SAKE JUNMAI - 720ML","720ML","42","$22.99",,
"54436","IMPORTED GIN","MUFF IRISH GIN  - 700ML","700ML","0","$29.99",,
"235324","AMERICAN RED","ANAKOTA HELENA MONTANA VYD K/V CAB 14 - 750ML","750ML","0","$254.99",,
"69111","DOMESTIC CAN BEER","7 LOCKS GRUBBY THICKET 4/6 CANS - 12.0Z (6-Pack)","6pk","0","$15.99",,
"51071","IMPORTED CORDIALS","BAILEYS IRISH CREAM - 1L","1L","624","$39.99",,
"238976","AUSTRALIAN","HICKINBOTHAM BROOKS RD SHIRAZ - 750ML","750ML","0","$82.99",,
"44493","AMERICAN RED","ORIN SWIFT PAPILLON - 750ML","750ML","0","$81.99",,
"16347","DOMESTIC RUM","CLANDESTINO COFFEE 200ML","200ML","0","$21.99",,
"76760","STRAIGHT BOURBON WHISKEY","LARCENY BOURBON W/ICE MOLD  - 750ML","750ML","0","$26.99",,
"171393","SPARKLING","MUMMS NAPA PRESTIGE BRUT 750ML","750ML","0","$25.99",,
"232156","CHILE","ALCANCE VIGNO CARIGNAN - 750ML","750ML","0","$48.99",,
"232008","ARGENTINA","BODEGAS TONEL 46 RES MALB - 750ML","750ML","96","$19.99",,
"12556","STRAIGHT BOURBON WHISKEY","WILD TURKEY 81 - 750ML","750ML","180","$22.99",,
"237320","WHITE BURGUNDY WINE","MEURGEY-CROSES MACON-UCHIZY VIN DE BOURG WHITE - 750ML","750ML","0","$28.99",,
"42997","DOMESTIC VODKA","LOOK APPLE VODKA - 750ML","750ML","0","$24.99",,
"246104","STRAIGHT RYE WHISKEY","BALTIMORE SPIRITS EPOCH RYE RESERVE 750ML","750ML","0","$58.99",,
"237430","ITALIAN RED WINE","TERRA COSTANTINO DE AETNA ETNA ROSSO - 750ML","750ML","0","$28.99",,
"88603","DOMESTIC CORDIALS","RUM CHATA ORIGINAL - 750ML (1 Bottle)","750ML","24","$25.99","$21.99","09/30/2025"
"72664","DOMESTIC VODKA","NEW AMSTERDAM VODKA - PASSION FRUIT - 50ML","50ML","720","$1.09",,
"89243","LIQ BASED RTD","HEUBLEIN MARGARITA W/ CORAZON TEQ - 375ML","375ML","0","$8.99",,
"79380","TEQUILA","ILEGAL JOVEN MEZCAL - 750ML","750ML","510","$34.99",,
"76567","TEQUILA","CLASE AZUL TEQUILA - PLATA - 750ML","750ML","0","$178.99",,
"79359","CHAMPAGNE","TAITTINGER BRUT LA FRANCAISE - 750ML","750ML","60","$67.99",,
"44916","AMERICAN WHITE","A TO Z OREGON P/GRIS - 750ML","750ML","72","$18.99",,
"297259","NON-ALCOHOLIC MIXERS","MASTER OF MIXES COCKTAIL ESSENTIALS PEACH 375ML","375ML","0","$3.99",,
"15318","CANADIAN WHISKEY","CROWN ROYAL - 375ML","375ML","264","$16.99",,
"17753","PRE-MIX COCKTAILS","JOSE CUERVO AUTHENTIC RASPBERRY COLADA MARG 1.75L","1.75L","0","$14.99",,
"367064","CHAMPAGNE","LAURENT PERRIER BRUT ROSE - 750ML","750ML","0","$129.99",,
"327070","CHILE","VINA SIEGEL 1234 RED - 750ML","750ML","0","$10.99",,
"79510","VERMOUTH","MARTINI & ROSSI SWEET VERMOUTH - 1L","1L","0","$19.99",,
"297285","NON-ALCOHOLIC MIXERS","MASTER OF MIXES MOJITO 1.75L","1.75L","0","$8.99",,
"439037","ARGENTINA","LUCA MENDOZA MAL - 750ML","750ML","0","$37.99",,
"380723","BLENDED WHISKEY","BLUE NOTE RYE WHISKEY 6/750ML","750ML","0","$39.99",,
"358878","AMERICAN WHITE","CADE S/BLC - 750ML","750ML","0","$56.99",,
"247633","SPARKLING","HAMPTON WATER ROSE BUBBLY - 750ML","750ML","0","$33.99",,
"166662","NON-ALCOHOLIC MIXERS","AGALIMA SWEET & SOUR MIX - 1L","1L","336","$10.99",,
"54294","AMERICAN WHITE","ROMAN CLARKE VIOGNIER - 750ML","750ML","0","$22.99",,
"350054","AMERICAN BLUSH","FIT VINE ROSE - 750ML","750ML","0","$18.99",,
"237807","BLENDED WHISKEY","REDWOOD EMPIRE LOST MONARCH BLEND STRAIGHT WHISKEYS - 750ML","750ML","114","$39.99",,
"297305","MISCELLANEOUS IMPORTED SPIRITS","GIN LANE 1751 LONDON DRY GIN - 750ML","750ML","0","$33.99",,
"241478","DOMESTIC LIQUOR SPECIALTY","99 SCHNAPPS BIRTHDAY BUCKET - 21PK/50ML (21-Pack)","21pk","0","$22.89",,
"74989","CANADIAN WHISKEY","CROWN ROYAL - APPLE - 1.75L","1.75L","0","$54.99",,
"79986","STRAIGHT BOURBON WHISKEY","WOODFORD RES DOUBLE OAK BOURBON - 750ML","750ML","222","$58.99",,
"84307","AMERICAN RED","EDNA VALLEY P/NOIR - 750ML","750ML","156","$16.99",,
"27359","SINGLE MALT SCOTCH","GLENLIVET DOUBLE OAK 12YR - 1.75L","1.75L","138","$113.99",,
"28231","IMPORTED SCOTCH","JOHNNIE WALKER RED - 1.75L","1.75L","564","$44.99",,
"47872","KOSHER","BARKAN CLASSIC P/NOIR - 750ML","750ML","492","$14.99",,
"367960","WINE CANS","CANPAGNE ROSE CAN - 355ML","355ML","0","$5.99",,
"247463","NON-ALCOHOLIC WINE","TOST SPARK WHITE NA - 750ML","750ML","0","$9.99",,
"117","STORE SUPPLIES","WHISKEY TASTING JOURNAL - BAG","BAG","200","$4.99",,
"51705","AMERICAN RED","EDNA VALLEY MER - 750ML","750ML","0","$14.99",,
"372072","NON-ALCOHOLIC MIXERS","REAL PEACH INFUSED SYRUP 50ML - 500ML","500ML","0","$6.99",,
"79503","IRISH WHISKEY","JAMESON COLD BREW - 750ML","750ML","0","$29.99",,
"43988","IMPORTED RUM","SANTA TERESA 1796 ANTIQUA - 750ML","750ML","210","$47.99",,
"248113","DOMESTIC VODKA","CLUTCH VODKA - 1.75L","1.75L","0","$28.99",,
"244014","LIQ BASED RTD","POST MERIDIEM OLD FASHIONED - 24/100ML","100ML","888","$4.99",,
"83602","AMERICAN WHITE","EDNA VALLEY P/GRIG - 750ML","750ML","84","$14.99",,
"337509","CANADIAN WHISKEY","CROWN ROYAL APPLE - 50ML","50ML","780","$2.79",,
"236196","TEQUILA","CASAMIGOS TEQUILA MEZCAL - 750ML","750ML","132","$58.99",,
"41840","IMPORTED VODKA FLAVORS","VAN GOGH VODKA - CHOCOLATE - 750ML","750ML","0","$23.99",,
"80091","AMERICAN WHITE","ALMADEN MOSCATO - 5L","5L","0","$23.99",,
"247415","AMERICAN RED","XXL CALI EXTREME 21 RED MOSCATO - 750ML","750ML","144","$18.99",,
"76753","DOMESTIC CORDIALS","RUM CHATA - PINEAPPLE - 750ML (1 Bottle)","750ML","0","$25.99","$21.99","09/30/2025"
"77744","DOMESTIC CAN BEER","DEVILS BACKBONE 8 POINT AMERICAN IPA 4/6CN - 12.0Z (6-Pack)","6pk","0","$12.99",,
"141143","NEW ZEALAND","WAIRAU RIVER MARL S/BL - 750ML","750ML","204","$17.99",,
"76317","TEQUILA","CABO WABO BLANCO TEQUILA 80 - 750ML (1 Bottle)","750ML","0","$34.99","$29.99","09/30/2025"
"22578","AMERICAN WHITE","CORBETT CANYON CHARD - 3L","3L","54","$20.99",,
"427228","NEW ZEALAND","FRENZY S/BLC 750ML","750ML","480","$19.99",,
"54457","IMPORTED CORDIALS","BAILEYS CHOCOLATE - 50ML","50ML","0","$3.99",,
"362158","RED BURGUNDY WINE","LOUIS LATOUR P/NOIR DOM VALMOI - 750ML","750ML","0","$22.99",,
"12203","STRAIGHT BOURBON WHISKEY","OLD CROW BOURBON - 1.75L","1.75L","228","$16.99",,
"29696","IMPORTED VODKA","KETEL ONE VODKA - 50ML","50ML","0","$2.69",,
"43561","SINGLE MALT SCOTCH","ABERLOUR CASG ANNAMH BATCH 001 - 750ML","750ML","0","$58.99",,
"86277","AUSTRALIAN","19 CRIMES SEA SHZ - 750ML","750ML","360","$12.99",,
"42474","LIQ BASED RTD","BUZZBALLZ COCKTAILS STRAWBERRY 'RITA - 200ML","200ML","0","$3.99",,
"89648","VERMOUTH","GALLO SWEET VERMOUTH - 750ML","750ML","96","$7.99",,
"367522","GREEK","AVANTIS SAUVIGNON BLANC - 750ML","750ML","0","$17.99",,
"73540","IRISH WHISKEY","GREEN SPOT IRISH WHISKEY - 750ML","750ML","60","$56.99",,
"82589","AMERICAN WHITE","R STRONG SONOMA CHARD - 750ML","750ML","24","$15.99",,
"63045","RED BORDEAUX WINE","CH GREYSAC MEDOC EDV - 750ML","750ML","0","$33.99",,
"377663","DOMESTIC VODKA","CLUTCH VODKA - 750ML","750ML","0","$16.99",,
"247165","AMERICAN RED","CLIFF LEDE RHYTHM CAB SAUV SLD N/V - 750ML","750ML","0","$146.99",,
"88642","CANADIAN WHISKEY","CROWN ROYAL - PEACH - 50ML","50ML","0","$2.79",,
"307622","AMERICAN RED","MURPHY GOODE P/NOIR - 750ML","750ML","528","$14.99",,
"251036","DOMESTIC LIQUOR SPECIALTY","YUKON JACK 100PF LIQUEUR - 50ML","50ML","840","$1.09",,
"377456","MISCELLANEOUS IMPORTED WINE","XXL MANGO MOSCATO - 750ML","750ML","72","$13.99",,
"297340","ITALIAN RED WINE","ALTESINO BRUNELLO DI MONTALCINO - 12/750ML","750ML","0","$82.99",,
"42260","LIQ BASED RTD","ON THE ROCKS LARIOS AVIATION RTD - 375ML","375ML","384","$12.99",,
"333972","NEW ZEALAND","OYSTER BAY CHARD - 750ML","750ML","96","$17.99",,
"52062","SINGLE MALT SCOTCH","BENRIACH SINGLE MALT - THE TWELVE - 750ML","750ML","0","$70.99",,
"43806","ASIAN","GEKKEIKAN BLACK & GOLD SAKE - 750ML","750ML","150","$21.99",,
"18425","DOMESTIC LIQUOR SPECIALTY","ROSIE CHEEKS CAMPFIRE 750ML","750ML","0","$34.99",,
"16519","TEQUILA","TRES GENERACIONES ANEJO 750ML","750ML","150","$48.99",,
"35408","DOMESTIC VODKA FLAVORS","SMIRNOFF VODKA - ORANGE TW - 1L","1L","0","$17.99",,
"171394","BLENDED WHISKEY","SEACRETS LTD RELEASE AMERICAN WHISKEY 750ML","750ML","0","$59.99",,
"14117","IMPORTED VODKA","CHOPIN VODKA - 750ML","750ML","102","$29.99",,
"54483","BLENDED WHISKEY","JOHN BARR BLEND - 1.75L","1.75L","72","$29.99",,
"51420","IMPORTED CORDIALS","BAILEYS IRISH CREAM - 50ML","50ML","2240","$3.49",,
"41663","AUSTRALIAN","MOLLY DOOKER THE BOXER SHZ - 750ML","750ML","0","$37.99",,
"380500","MISCELLANEOUS IMPORTED SPIRITS","RAMPUR DOUBLE CASK - 750ML","750ML","0","$94.99",,
"44918","AMERICAN WHITE","PAUL NEWMAN CHARD - 750ML","750ML","0","$14.99",,
"88210","FRANCE-OTHER","BOISSY & DELAYGUE L PONTIAS CDR RGE - 750ML (1 Bottle)","750ML","816","$13.99","$11.99","09/30/2025"
"379927","FRENCH WHITE WINE","ROSE GOLD PROVENCE ROSE - 750ML","750ML","204","$22.99",,
"170939","DOMESTIC RUM FLAVORS","KOLOA KAUAI COCONUT RUM 750ML","750ML","0","$40.99",,
"241316","AMERICAN TABLE WINE","WOODBRIDGE CABERNET SAUVIGNON GO PACK - 500ML","500ML","0","$5.99",,
"18607","SESSION RTD","TENTH WARD QUEEN BEE'S KNEES RTD 6/4 CANS - 250ML (4-Pack)","4pk","0","$12.99",,
"246203","AMERICAN RED","BV RUTHERFORD CAB RESERVE - 750ML","750ML","0","$72.99",,
"317022","SOUTH AFRICAN","STELLAR ORGANICS CAB - 750ML","750ML","228","$10.99",,
"71565","IMPORTED GIN","NEW AMSTERDAM LONDON DRY GIN (GREEN LABEL) -750ML","750ML","24","$17.99",,
"30457","DOMESTIC GIN","GORDON'S GIN - 1L","1L","108","$16.99",,
"80178","AMERICAN RED","BERINGER RED MOSCATO - 1.5L","1.5L","0","$17.99",,
"80233","PORT","TAYLOR TAWNY PORT - 1.5L","1.5L","66","$15.99",,
"41149","COGNAC","REMY MARTIN VSOP - 750ML","750ML","528","$56.99",,
"166346","AMERICAN RED","GNARLY HEAD 1924 BLACK CABERNET SAUVIGNON - 750ML","750ML","384","$12.99",,
"87415","SPARKLING","LA MARCA PROSECCO - 1.5L","1.5L","54","$36.99",,
"83524","AMERICAN RED","BAREFOOT CEL SANGRIA - 1.5L (1 Bottle)","1.5L","24","$14.99","$12.99","09/30/2025"
"342215","AMERICAN RED","JOEL GOTT #815 CABERNET SAUVIGNON - 750ML","750ML","1008","$17.99",,
"54213","SESSION RTD","JACK DANIELS & GINGER ALE  4 PK - RTD- 355ML (4-Pack)","355ML","840","$12.99","$11.99","09/30/2025"
"73556","PRE-MIX COCKTAILS","CHI-CHI'S SKINNY MARGARITA - 1.75L","1.75L","246","$9.99",,
"76152","TEQUILA","CLASE AZUL TEQUILA - REPOSADO - 750ML","750ML","78","$201.99",,
"307901","IMPORTED GIN","HENDRICKS GIN - 1L","1L","912","$49.99",,
"333666","DOMESTIC GIN","BARR HILL TOM CAT GIN - 750ML","750ML","0","$48.99",,
"38261","TEQUILA","EL JIMADOR TEQUILA - BLANCO - 750ML","750ML","2964","$23.99",,
"70009","ITALIAN RED WINE","CAVIT P/NOIR - 1.5L","1.5L","144","$22.99",,
"246322","NEW ZEALAND","JOEL GOTT NEW ZEALAND SAUVIGNON BLANC 750ML","750ML","252","$16.99",,
"239000","IMPORTED CORDIALS","JINRO CHAMISOL SOJU (FRESH) - 375ML","375ML","380","$7.99",,
"54291","BLENDED WHISKEY","TWIN VALLEY MDPB - 750ML","750ML","0","$11.99",,
"97578","DOMESTIC BOTTLE BEER","BUD 24/12 PREPRINT LSE NR - 12.0Z","12.0Z","35","$35.99",,
"40207","DOMESTIC BRANDY","E&J BRANDY VSOP - 1.75L","1.75L","90","$27.99",,
"171918","STRAIGHT BOURBON WHISKEY","MCCLINTOCK MATCHSTICK MAPLE FINISHED STRAIGHT BOURB 750ML","750ML","0","$56.99",,
"247325","TEQUILA","CINCO SENTIDOS TEPEXTATE-MEXICANO MEZCAL - 750ML","750ML","0","$156.99",,
"89933","AMERICAN RED","SUMMIT CAB SAUV BIB - 3L","3L","0","$24.99",,
"91644","IMPORTED RUM FLAVORS","CRUZAN ISLAND RESERVE 750ML","750ML","0","$36.99",,
"242075","IMPORTED SCOTCH","OLD PARR SCOTCH - 750ML","750ML","564","$26.99",,
"351816","SPARKLING","VALDO NUMERO UNO EXTRA DRY BRUT - 750ML","750ML","0","$12.99",,
"308235","AMERICAN RED","DAOU CABERNET - 750ML","750ML","276","$26.99",,
"54533","TEQUILA","KOMOS REPOSADO ROSA- 375ML","375ML","0","$62.99",,
"313992","MISCELLANEOUS IMPORTED SPIRITS","CHUM-CHURUM SOONHARI PEACH SOJU - 375ML","375ML","560","$8.99",,
"307248","AMERICAN WHITE","BOTA BOX P/GRIG TETRA 500ML","500ML","504","$5.99",,
"138","STORE SUPPLIES","MD FLAD BOTTLE OPENER - UNIT","UNIT","48","$4.99",,
"73555","AMERICAN BLUSH","BERINGER WH/ZIN - 1.5L","1.5L","270","$17.99",,
"62052","MISCELLANEOUS IMPORTED WINE","DUBOEUF BEAUJOLAIS NOUVEAU ROSE 750ML","750ML","0","$15.99",,
"323618","SPANISH/PORTUGUESE","CUNE CRIANZA - 750ML","750ML","84","$17.99",,
"80168","AMERICAN RED","BERINGER RED MOSCATO - 750ML","750ML","0","$10.99",,
"246284","SESSION RTD","SURFSIDE STRAWBERRY LEMONADE 6/4PK RTD 12OZ CAN - 12.0Z (4-Pack)","4pk","8760","$8.99",,
"72265","TEQUILA","CASAMIGOS BLANCO TEQUILA - COASTERS - 750ML","750ML","0","$47.99",,
"245073","AUSTRALIAN","YELLOW TAIL FRESH TWIST TROPICAL PINEAPPLE - 750ML","750ML","0","$10.99",,
"83902","AMERICAN RED","BOTA BOX SQ CHILE PINOT NOIR - 3L","3L","423","$21.99",,
"574385","SPARKLING","VALDO PROSECCO ROSE BRUT MARCA ORO - 750ML","750ML","0","$17.99",,
"309999","AMERICAN WHITE","3 GIRLS CHARD - 750ML (1 Bottle)","750ML","0","$14.99","$10.99","09/30/2025"
"171345","AMERICAN RED","MENAGE A TROIS RED BLEND GIFT PACK 4/3PK 750ML (3-Pack)","3pk","0","$38.99",,
"305146","FRENCH BLUSH","DOM BELLEVUE ROSE - 750ML","750ML","0","$16.99",,
"71710","IMPORTED CORDIALS","AVERNA AMARO - 750ML","750ML","168","$30.99",,
