"Code","Category","Description","Size","Total Inventory","Price","Sale Price","Sale End Date"
"298583","AMERICAN TABLE WINE","GAME BOX PINOT GRIGIO BIB 3L","3L","0","$22.99",,
"348455","IRISH WHISKEY","JAMESON IRISH WHISKEY 18YR - 750ML","750ML","0","$178.99",,
"244128","TEQUILA","YAVE BLANCO TEQUILA - 750ML","750ML","0","$41.99",,
"83534","AMERICAN RED","TURNING LEAF CAB - 1.5L","1.5L","0","$13.99",,
"41092","COGNAC","COURVOISIER COGNAC VS - 1L","1L","0","$46.99",,
"52171","STRAIGHT BOURBON WHISKEY","REBEL YELL DIST COLLECTION - BARREL 8119527- 113P- 750ML","750ML","0","$37.99",,
"241699","AMERICAN RED","THE PRISONER P/NOIR - 750ML","750ML","0","$46.99",,
"305989","RED BURGUNDY WINE","RESERVA DE LA SAURINE RED - 750ML","750ML","0","$10.99",,
"166726","NON-ALCOHOLIC MIXERS","BITTERMILK #4 NEW ORLEANS OLD FASHIONED ROUGE - 8.0Z","8.0Z","0","$14.99",,
"54900","STRAIGHT BOURBON WHISKEY","BLADE AND BOW BOURBON WHISKEY - 750ML","750ML","42","$47.99",,
"38024","IMPORTED RUM","CRUZAN RUM - LIGHT - 1.75L","1.75L","0","$21.99",,
"167736","DOMESTIC VODKA","PLUSH PLUM VODKA 750ML","750ML","0","$24.99",,
"88915","STRAIGHT RYE WHISKEY","WILDERNESS TRAIL S/B (GREEN) KY STRAIGHT RYE WHISKEY CASK STRENGTH - 750ML","750ML","0","$71.99",,
"46302","DOMESTIC VODKA FLAVORS","SMIRNOFF VODKA - VANILLA TW - 750ML","750ML","0","$13.99",,
"73608","MISCELLANEOUS IMPORTED SPIRITS","BOLS VERY OLD FASHIONED - 200ML","200ML","0","$5.99",,
"232430","AUSTRALIAN","HICKINBOTHAM 'THE PEAKE' CAB/SHZ - 750ML","750ML","0","$182.99",,
"228507","IRISH WHISKEY","JAMESON ORANGE 10/12PK - 50ML (12-Pack)","12pk","0","$32.99",,
"367040","AMERICAN RED","MATTHEWS CLARET - 750ML","750ML","0","$61.99",,
"88168","TEQUILA","COMISARIO TEQUILA - REPOSADO - 750ML","750ML","0","$47.99",,
"350864","AMERICAN RED","J PHELPS NAPA CAB 14 - 750ML","750ML","0","$112.99",,
"54124","SINGLE MALT SCOTCH","GLENMORANGIE 12YR - 750ml","750ML","234","$50.99",,
"89729","LIQUEUR","SOGNO DI SORRENTO BLOOD ORANGE CREAM LIQ - 750ML","750ML","0","$32.99",,
"244029","DOMESTIC LIQUOR SPECIALTY","BIRD DOG WHISKEY - PEANUT BUTTER - 750ML","750ML","0","$21.99",,
"83198","AMERICAN WHITE","STORYPOINT CHARD - 750ML","750ML","0","$14.99",,
"297307","MISCELLANEOUS IMPORTED SPIRITS","GIN LANE 1751 LONDON DRY GIN 1.75L","1.75L","0","$55.99",,
"122475","ARGENTINA","ZOLO MENDOZA MAL - 750ML","750ML","0","$13.99",,
"169642","DOMESTIC CORDIALS","LS CREAM LIQUEUR 750ML","750ML","0","$39.99",,
