MonthDate,YearMonthKey,ISR_SA
2010-12-01,201012,1.37
2011-01-01,201101,1.37
2011-02-01,201102,1.35
2011-03-01,201103,1.35
2011-04-01,201104,1.35
2011-05-01,201105,1.36
2011-06-01,201106,1.35
2011-07-01,201107,1.35
2011-08-01,201108,1.36
2011-09-01,201109,1.34
2011-10-01,201110,1.34
2011-11-01,201111,1.34
2011-12-01,201112,1.34
2012-01-01,201201,1.34
2012-02-01,201202,1.33
2012-03-01,201203,1.34
2012-04-01,201204,1.36
2012-05-01,201205,1.37
2012-06-01,201206,1.4
2012-07-01,201207,1.4
2012-08-01,201208,1.39
2012-09-01,201209,1.38
2012-10-01,201210,1.39
2012-11-01,201211,1.38
2012-12-01,201212,1.39
2013-01-01,201301,1.39
2013-02-01,201302,1.38
2013-03-01,201303,1.39
2013-04-01,201304,1.4
2013-05-01,201305,1.4
2013-06-01,201306,1.4
2013-07-01,201307,1.4
2013-08-01,201308,1.41
2013-09-01,201309,1.42
2013-10-01,201310,1.43
2013-11-01,201311,1.45
2013-12-01,201312,1.45
2014-01-01,201401,1.46
2014-02-01,201402,1.44
2014-03-01,201403,1.43
2014-04-01,201404,1.41
2014-05-01,201405,1.42
2014-06-01,201406,1.42
2014-07-01,201407,1.43
2014-08-01,201408,1.42
2014-09-01,201409,1.43
2014-10-01,201410,1.43
2014-11-01,201411,1.43
2014-12-01,201412,1.45
2015-01-01,201501,1.45
2015-02-01,201502,1.46
2015-03-01,201503,1.44
2015-04-01,201504,1.45
2015-05-01,201505,1.44
2015-06-01,201506,1.45
2015-07-01,201507,1.44
2015-08-01,201508,1.45
2015-09-01,201509,1.47
2015-10-01,201510,1.48
2015-11-01,201511,1.48
2015-12-01,201512,1.48
2016-01-01,201601,1.5
2016-02-01,201602,1.49
2016-03-01,201603,1.51
2016-04-01,201604,1.5
2016-05-01,201605,1.5
2016-06-01,201606,1.49
2016-07-01,201607,1.49
2016-08-01,201608,1.49
2016-09-01,201609,1.49
2016-10-01,201610,1.49
2016-11-01,201611,1.5
2016-12-01,201612,1.48
2017-01-01,201701,1.47
2017-02-01,201702,1.47
2017-03-01,201703,1.48
2017-04-01,201704,1.48
2017-05-01,201705,1.49
2017-06-01,201706,1.49
2017-07-01,201707,1.49
2017-08-01,201708,1.5
2017-09-01,201709,1.45
2017-10-01,201710,1.45
2017-11-01,201711,1.44
2017-12-01,201712,1.44
2018-01-01,201801,1.45
2018-02-01,201802,1.45
2018-03-01,201803,1.45
2018-04-01,201804,1.45
2018-05-01,201805,1.44
2018-06-01,201806,1.45
2018-07-01,201807,1.44
2018-08-01,201808,1.45
2018-09-01,201809,1.46
2018-10-01,201810,1.46
2018-11-01,201811,1.44
2018-12-01,201812,1.49
2019-01-01,201901,1.5
2019-02-01,201902,1.5
2019-03-01,201903,1.47
2019-04-01,201904,1.48
2019-05-01,201905,1.46
2019-06-01,201906,1.46
2019-07-01,201907,1.46
2019-08-01,201908,1.45
2019-09-01,201909,1.46
2019-10-01,201910,1.46
2019-11-01,201911,1.44
2019-12-01,201912,1.43
2020-01-01,202001,1.44
2020-02-01,202002,1.43
2020-03-01,202003,1.54
2020-04-01,202004,1.68
2020-05-01,202005,1.33
2020-06-01,202006,1.21
2020-07-01,202007,1.21
2020-08-01,202008,1.22
2020-09-01,202009,1.22
2020-10-01,202010,1.24
2020-11-01,202011,1.26
2020-12-01,202012,1.26
2021-01-01,202101,1.22
2021-02-01,202102,1.25
2021-03-01,202103,1.12
2021-04-01,202104,1.1
2021-05-01,202105,1.1
2021-06-01,202106,1.09
2021-07-01,202107,1.13
2021-08-01,202108,1.13
2021-09-01,202109,1.12
2021-10-01,202110,1.11
2021-11-01,202111,1.12
2021-12-01,202112,1.18
2022-01-01,202201,1.19
2022-02-01,202202,1.2
2022-03-01,202203,1.21
2022-04-01,202204,1.2
2022-05-01,202205,1.22
2022-06-01,202206,1.22
2022-07-01,202207,1.25
2022-08-01,202208,1.25
2022-09-01,202209,1.25
2022-10-01,202210,1.24
2022-11-01,202211,1.26
2022-12-01,202212,1.28
2023-01-01,202301,1.24
2023-02-01,202302,1.25
2023-03-01,202303,1.28
2023-04-01,202304,1.27
2023-05-01,202305,1.27
2023-06-01,202306,1.27
2023-07-01,202307,1.26
2023-08-01,202308,1.26
2023-09-01,202309,1.26
2023-10-01,202310,1.27
2023-11-01,202311,1.27
2023-12-01,202312,1.28
2024-01-01,202401,1.3
2024-02-01,202402,1.3
2024-03-01,202403,1.29
2024-04-01,202404,1.3
2024-05-01,202405,1.3
2024-06-01,202406,1.32
2024-07-01,202407,1.31
2024-08-01,202408,1.33
2024-09-01,202409,1.33
2024-10-01,202410,1.32
2024-11-01,202411,1.31
2024-12-01,202412,1.29
2025-01-01,202501,1.31
2025-02-01,202502,1.31
2025-03-01,202503,1.29
2025-04-01,202504,1.29
2025-05-01,202505,1.3
2025-06-01,202506,1.29
2025-07-01,202507,1.29
