YearMonthKey,ItemCode,ItemDescription,ItemType,RetailSales_M,AvgRetailSalesPrev3M,DeltaVendasVsMedia3M_Pct,MonthIndex,HasMin3Months
202009,23445,CORONA EXTRA LOOSE NR - 12OZ,BEER,748.0,948.3333333333334,-21.124780316344467,24,True
201706,23886,HEINEKEN LOOSE NR - 12OZ,BEER,767.0,,,1,False
201707,23886,HEINEKEN LOOSE NR - 12OZ,BEER,950.0,,,2,False
201708,23886,HEINEKEN LOOSE NR - 12OZ,BEER,706.0,,,3,False
201709,23886,HEINEKEN LOOSE NR - 12OZ,BEER,662.0,807.6666666666666,-18.035493190260006,4,True
201710,23886,HEINEKEN LOOSE NR - 12OZ,BEER,633.0,772.6666666666666,-18.075927523727348,5,True
201711,23886,HEINEKEN LOOSE NR - 12OZ,BEER,814.0,667.0,22.038980509745127,6,True
201712,23886,HEINEKEN LOOSE NR - 12OZ,BEER,851.0,703.0,21.052631578947366,7,True
201801,23886,HEINEKEN LOOSE NR - 12OZ,BEER,485.0,766.0,-36.684073107049606,8,True
201802,23886,HEINEKEN LOOSE NR - 12OZ,BEER,615.0,716.6666666666666,-14.186046511627904,9,True
201901,23886,HEINEKEN LOOSE NR - 12OZ,BEER,461.0,650.3333333333334,-29.11327524346489,10,True
201902,23886,HEINEKEN LOOSE NR - 12OZ,BEER,617.0,520.3333333333334,18.57783472133247,11,True
201903,23886,HEINEKEN LOOSE NR - 12OZ,BEER,689.0,564.3333333333334,22.090962787950374,12,True
201904,23886,HEINEKEN LOOSE NR - 12OZ,BEER,567.0,589.0,-3.7351443123938877,13,True
201905,23886,HEINEKEN LOOSE NR - 12OZ,BEER,939.0,624.3333333333334,50.400427122263736,14,True
201906,23886,HEINEKEN LOOSE NR - 12OZ,BEER,735.0,731.6666666666666,0.45558086560364985,15,True
201907,23886,HEINEKEN LOOSE NR - 12OZ,BEER,1293.0,747.0,73.09236947791165,16,True
201908,23886,HEINEKEN LOOSE NR - 12OZ,BEER,707.0,989.0,-28.51365015166835,17,True
201909,23886,HEINEKEN LOOSE NR - 12OZ,BEER,1084.0,911.6666666666666,18.903107861060334,18,True
201910,23886,HEINEKEN LOOSE NR - 12OZ,BEER,519.0,1028.0,-49.5136186770428,19,True
201911,23886,HEINEKEN LOOSE NR - 12OZ,BEER,1118.0,770.0,45.19480519480519,20,True
202001,23886,HEINEKEN LOOSE NR - 12OZ,BEER,681.0,907.0,-24.91730981256891,21,True
202003,23886,HEINEKEN LOOSE NR - 12OZ,BEER,787.0,772.6666666666666,1.8550474547023348,22,True
202007,23886,HEINEKEN LOOSE NR - 12OZ,BEER,628.0,862.0,-27.1461716937355,23,True
202009,23886,HEINEKEN LOOSE NR - 12OZ,BEER,453.0,698.6666666666666,-35.16221374045801,24,True
