MonthDate,YearMonthKey,ISR_SA,ISR_NSA,Gap_abs,Gap_pct
1992-08-01,199208,1.69,1.63,0.06000000000000005,3.680981595092028
1992-09-01,199209,1.67,1.72,-0.050000000000000044,-2.9069767441860495
1992-10-01,199210,1.66,1.73,-0.07000000000000006,-4.046242774566478
1992-11-01,199211,1.67,1.78,-0.1100000000000001,-6.179775280898882
1992-12-01,199212,1.68,1.33,0.34999999999999987,26.315789473684198
1993-01-01,199301,1.67,1.86,-0.19000000000000017,-10.215053763440869
1993-02-01,199302,1.7,1.94,-0.24,-12.371134020618557
1993-03-01,199303,1.73,1.76,-0.030000000000000027,-1.7045454545454561
1993-04-01,199304,1.69,1.71,-0.020000000000000018,-1.1695906432748548
1993-05-01,199305,1.68,1.65,0.030000000000000027,1.81818181818182
1993-06-01,199306,1.69,1.63,0.06000000000000005,3.680981595092028
1993-07-01,199307,1.67,1.6,0.06999999999999984,4.37499999999999
1993-08-01,199308,1.67,1.61,0.05999999999999983,3.7267080745341503
1993-09-01,199309,1.67,1.71,-0.040000000000000036,-2.3391812865497097
1993-10-01,199310,1.67,1.76,-0.09000000000000008,-5.113636363636368
1993-11-01,199311,1.66,1.75,-0.09000000000000008,-5.142857142857148
1993-12-01,199312,1.66,1.32,0.33999999999999986,25.757575757575747
1994-01-01,199401,1.66,1.86,-0.20000000000000018,-10.752688172043019
1994-02-01,199402,1.65,1.88,-0.22999999999999998,-12.23404255319149
1994-03-01,199403,1.62,1.62,0.0,0.0
1994-04-01,199404,1.63,1.66,-0.030000000000000027,-1.8072289156626522
1994-05-01,199405,1.67,1.63,0.040000000000000036,2.4539877300613524
1994-06-01,199406,1.67,1.61,0.05999999999999983,3.7267080745341503
1994-07-01,199407,1.67,1.64,0.030000000000000027,1.8292682926829285
1994-08-01,199408,1.67,1.58,0.08999999999999986,5.69620253164556
1994-09-01,199409,1.67,1.71,-0.040000000000000036,-2.3391812865497097
1994-10-01,199410,1.67,1.78,-0.1100000000000001,-6.179775280898882
1994-11-01,199411,1.67,1.76,-0.09000000000000008,-5.113636363636368
1994-12-01,199412,1.68,1.35,0.32999999999999985,24.444444444444432
1995-01-01,199501,1.69,1.9,-0.20999999999999996,-11.052631578947366
1995-02-01,199502,1.73,1.98,-0.25,-12.626262626262626
1995-03-01,199503,1.73,1.73,0.0,0.0
1995-04-01,199504,1.75,1.8,-0.050000000000000044,-2.77777777777778
1995-05-01,199505,1.73,1.67,0.06000000000000005,3.5928143712574885
1995-06-01,199506,1.71,1.64,0.07000000000000006,4.268292682926833
1995-07-01,199507,1.72,1.69,0.030000000000000027,1.7751479289940846
1995-08-01,199508,1.71,1.61,0.09999999999999987,6.211180124223594
1995-09-01,199509,1.71,1.75,-0.040000000000000036,-2.285714285714288
1995-10-01,199510,1.73,1.85,-0.1200000000000001,-6.486486486486492
1995-11-01,199511,1.72,1.8,-0.08000000000000007,-4.444444444444448
1995-12-01,199512,1.7,1.39,0.31000000000000005,22.302158273381302
1996-01-01,199601,1.7,1.88,-0.17999999999999994,-9.57446808510638
1996-02-01,199602,1.68,1.84,-0.16000000000000014,-8.69565217391305
1996-03-01,199603,1.67,1.68,-0.010000000000000009,-0.5952380952380958
1996-04-01,199604,1.65,1.69,-0.040000000000000036,-2.3668639053254457
1996-05-01,199605,1.65,1.57,0.07999999999999985,5.095541401273875
1996-06-01,199606,1.67,1.62,0.04999999999999982,3.0864197530864086
1996-07-01,199607,1.68,1.62,0.05999999999999983,3.703703703703693
1996-08-01,199608,1.69,1.57,0.11999999999999988,7.643312101910821
1996-09-01,199609,1.67,1.75,-0.08000000000000007,-4.571428571428576
1996-10-01,199610,1.66,1.75,-0.09000000000000008,-5.142857142857148
1996-11-01,199611,1.66,1.76,-0.10000000000000009,-5.681818181818187
1996-12-01,199612,1.66,1.38,0.28,20.289855072463773
1997-01-01,199701,1.64,1.79,-0.15000000000000013,-8.379888268156432
1997-02-01,199702,1.64,1.86,-0.2200000000000002,-11.827956989247323
1997-03-01,199703,1.62,1.64,-0.019999999999999796,-1.2195121951219388
1997-04-01,199704,1.66,1.7,-0.040000000000000036,-2.35294117647059
1997-05-01,199705,1.66,1.58,0.07999999999999985,5.063291139240497
1997-06-01,199706,1.65,1.61,0.039999999999999813,2.4844720496894293
1997-07-01,199707,1.64,1.58,0.05999999999999983,3.797468354430369
1997-08-01,199708,1.64,1.55,0.08999999999999986,5.806451612903216
1997-09-01,199709,1.64,1.69,-0.050000000000000044,-2.9585798816568074
1997-10-01,199710,1.64,1.72,-0.08000000000000007,-4.651162790697678
1997-11-01,199711,1.65,1.77,-0.1200000000000001,-6.7796610169491585
1997-12-01,199712,1.64,1.36,0.2799999999999998,20.58823529411763
1998-01-01,199801,1.64,1.79,-0.15000000000000013,-8.379888268156432
1998-02-01,199802,1.65,1.86,-0.2100000000000002,-11.29032258064517
1998-03-01,199803,1.65,1.68,-0.030000000000000027,-1.7857142857142874
1998-04-01,199804,1.63,1.66,-0.030000000000000027,-1.8072289156626522
1998-05-01,199805,1.61,1.55,0.06000000000000005,3.8709677419354875
1998-06-01,199806,1.6,1.54,0.06000000000000005,3.8961038961038996
1998-07-01,199807,1.62,1.55,0.07000000000000006,4.5161290322580685
1998-08-01,199808,1.63,1.56,0.06999999999999984,4.487179487179477
1998-09-01,199809,1.63,1.68,-0.050000000000000044,-2.976190476190479
1998-10-01,199810,1.61,1.69,-0.07999999999999985,-4.733727810650878
1998-11-01,199811,1.61,1.74,-0.1299999999999999,-7.471264367816086
1998-12-01,199812,1.6,1.32,0.28,21.21212121212121
1999-01-01,199901,1.61,1.78,-0.16999999999999993,-9.550561797752804
1999-02-01,199902,1.6,1.79,-0.18999999999999995,-10.614525139664801
1999-03-01,199903,1.6,1.59,0.010000000000000009,0.6289308176100634
1999-04-01,199904,1.6,1.64,-0.039999999999999813,-2.4390243902438913
1999-05-01,199905,1.6,1.55,0.050000000000000044,3.2258064516129057
1999-06-01,199906,1.6,1.55,0.050000000000000044,3.2258064516129057
1999-07-01,199907,1.59,1.52,0.07000000000000006,4.605263157894741
1999-08-01,199908,1.58,1.5,0.08000000000000007,5.3333333333333375
1999-09-01,199909,1.58,1.62,-0.040000000000000036,-2.469135802469138
1999-10-01,199910,1.59,1.69,-0.09999999999999987,-5.9171597633136015
1999-11-01,199911,1.58,1.69,-0.10999999999999988,-6.508875739644964
1999-12-01,199912,1.56,1.29,0.27,20.930232558139537
2000-01-01,200001,1.58,1.76,-0.17999999999999994,-10.227272727272723
2000-02-01,200002,1.56,1.68,-0.11999999999999988,-7.142857142857137
2000-03-01,200003,1.54,1.53,0.010000000000000009,0.6535947712418306
2000-04-01,200004,1.59,1.64,-0.04999999999999982,-3.0487804878048674
2000-05-01,200005,1.59,1.52,0.07000000000000006,4.605263157894741
2000-06-01,200006,1.59,1.53,0.06000000000000005,3.921568627450984
2000-07-01,200007,1.61,1.56,0.050000000000000044,3.2051282051282075
2000-08-01,200008,1.61,1.51,0.10000000000000009,6.622516556291397
2000-09-01,200009,1.59,1.64,-0.04999999999999982,-3.0487804878048674
2000-10-01,200010,1.61,1.73,-0.11999999999999988,-6.936416184971092
2000-11-01,200011,1.62,1.72,-0.09999999999999987,-5.813953488372086
